Pair,L1,a1,b1,L2,a2,b2,DV,DV normF3,DECIEDE2000
1.40,64.46,-30.1,40.245,64.96,-29.915,40.775,0.7679652953312082,0.430246641635861,0.488203997971417
1.41,64.46,-30.1,40.245,65.045,-29.635,39.565,1.4385162676217225,0.805917659658763,0.545735342366942
1.42,64.46,-30.1,40.245,64.945,-29.395,38.875,1.3848721898384815,0.775863978127292,0.632759684858548
1.43,64.46,-30.1,40.245,64.64,-30.3,39.695,0.6338551008731055,0.355112438367425,0.311825179533679
1.44,64.46,-30.1,40.245,64.675,-30.47,40.825,0.7679652953312082,0.430246641635861,0.275984661476642
1.45,64.46,-30.1,40.245,64.62,-29.945,39.16,0.8752534508976906,0.490354004698802,0.426595754694833
1.46,64.46,-30.1,40.245,64.505,-29.91,40.25,0.902075489789311,0.505380845464538,0.0953915496659332
1.47,64.46,-30.1,40.245,64.555,-29.62,39.83,0.7679652953312082,0.430246641635861,0.218518180276339
1.48,64.46,-30.1,40.245,64.585,-30.57,41.295,1.1434738398138964,0.640622411795915,0.379739556479468
1.49,64.46,-30.1,40.245,64.53,-30.51,41.08,0.9825416064641728,0.550461367201502,0.297996515047133
1.50,64.46,-30.1,40.245,64.585,-30.23,40.66,1.33122811205524,0.745810296595821,0.17901840637785
2.1,65.31,-10.12,13.085,65.185,-10.085,12.9,1.0630077231390345,0.595541889498709,0.153290387488623
2.2,65.31,-10.12,13.085,64.985,-9.99,14.145,1.1166518009222757,0.62559557103018,0.762031247591366
2.3,65.31,-10.12,13.085,65.155,-10.185,13.38,0.7947873342228289,0.445273482401596,0.220904998656797
2.4,65.31,-10.12,13.085,65.06,-10.17,13.14,0.7411432564395877,0.415219800870125,0.210605414776556
2.5,65.31,-10.12,13.085,64.82,-10.23,13.68,0.7947873342228289,0.445273482401596,0.542411363614201
2.6,65.31,-10.12,13.085,65.14,-10.345,13.47,0.9557195675725523,0.535434526996009,0.300490855678751
2.7,65.31,-10.12,13.085,65.05,-9.975,12.74,1.1166518009222757,0.62559557103018,0.308212754841294
2.8,65.31,-10.12,13.085,64.525,-10.145,11.905,1.3848721898384815,0.775863978127292,1.00626042816384
2.9,65.31,-10.12,13.085,65.435,-10.13,12.39,1.33122811205524,0.745810296595821,0.462397523289962
2.10,65.31,-10.12,13.085,65.285,-9.995,12.715,1.1166518009222757,0.62559557103018,0.233168576063553
2.11,65.31,-10.12,13.085,65.29,-9.995,12.795,1.1702958787055167,0.655649252561651,0.188311512176578
2.12,65.31,-10.12,13.085,65.24,-10.26,13.985,0.8752534508976906,0.490354004698802,0.552017333222086
2.13,65.31,-10.12,13.085,64.86,-10.01,12.89,0.902075489789311,0.505380845464538,0.393501361413981
2.14,65.31,-10.12,13.085,65.535,-10.065,12.64,1.223939956488758,0.685702933532879,0.332446463745755
2.15,65.31,-10.12,13.085,65.29,-10.085,12.645,1.2507619953803784,0.700729774298615,0.276674334332012
2.16,65.31,-10.12,13.085,65.265,-10.135,13.04,1.1702958787055167,0.655649252561651,0.0507680831237949
2.17,65.31,-10.12,13.085,65.12,-10.11,12.885,1.1702958787055167,0.655649252561651,0.200584507678305
2.18,65.31,-10.12,13.085,65.265,-10.365,13.64,0.5802110230898643,0.325058756835955,0.358005376062806
2.19,65.31,-10.12,13.085,65.24,-10.265,12.69,1.3848721898384815,0.775863978127292,0.319012962662229
2.20,65.31,-10.12,13.085,65.585,-10.085,12.86,1.1971179175971374,0.670676093327386,0.264428605525787
2.21,65.31,-10.12,13.085,65.075,-9.84,12.965,1.0630077231390345,0.595541889498709,0.304318909076213
2.22,65.31,-10.12,13.085,65.36,-10.155,13.23,0.8216093731144494,0.460300323167332,0.0980047623553663
2.23,65.31,-10.12,13.085,65.44,-10.1,13.285,0.7947873342228289,0.445273482401596,0.171095311021558
2.24,65.31,-10.12,13.085,64.95,-9.95,13.465,0.8752534508976906,0.490354004698802,0.434714366293519
2.25,65.31,-10.12,13.085,65.125,-10.135,13.175,0.6874991786563465,0.385166119898896,0.161541654867047
2.26,65.31,-10.12,13.085,65.33,-9.98,13.12,1.2507619953803784,0.700729774298615,0.131429840185488
2.27,65.31,-10.12,13.085,63.98,-10.09,12.385,1.3044060731636198,0.730783455830086,1.18578418652278
2.28,65.31,-10.12,13.085,64.99,-9.885,13.045,1.0898297620306552,0.610568730264444,0.330134889356254
2.29,65.31,-10.12,13.085,65.12,-9.99,13.125,0.8484314120060701,0.475327163933067,0.198709999148083
2.30,65.31,-10.12,13.085,64.835,-10.18,12.685,1.0898297620306552,0.610568730264444,0.47845939797979
2.31,65.31,-10.12,13.085,64.965,-10.015,13.515,0.9557195675725523,0.535434526996009,0.422380698517312
2.32,65.31,-10.12,13.085,65.235,-10.04,12.86,1.0630077231390345,0.595541889498709,0.154407924946124
2.33,65.31,-10.12,13.085,65.245,-10.085,13.275,0.6338551008731055,0.355112438367425,0.143739803233296
2.34,65.31,-10.12,13.085,64.935,-10.03,13.795,0.8216093731144494,0.460300323167332,0.570777387079447
2.35,65.31,-10.12,13.085,65.28,-9.95,13.4,0.9557195675725523,0.535434526996009,0.283297568858979
2.36,65.31,-10.12,13.085,65.285,-10.085,13.05,0.9825416064641728,0.550461367201502,0.0382732648285385
2.37,65.31,-10.12,13.085,65.35,-10.19,13.12,0.8484314120060701,0.475327163933067,0.0671010681212773
2.38,65.31,-10.12,13.085,65.23,-10.02,13.1,1.0898297620306552,0.610568730264444,0.11172538201069
2.39,65.31,-10.12,13.085,65.155,-10.19,13.345,0.660677139764726,0.370139279133161,0.204218175511964
2.40,65.31,-10.12,13.085,65.18,-10.23,13.205,0.7679652953312082,0.430246641635861,0.149008890681465
2.41,65.31,-10.12,13.085,65.21,-10.05,12.635,1.4385162676217225,0.805917659658763,0.290562435278466
2.42,65.31,-10.12,13.085,65.45,-10.025,12.355,1.3848721898384815,0.775863978127292,0.469292833150755
2.43,65.31,-10.12,13.085,65.3,-10.125,13.11,0.6338551008731055,0.355112438367425,0.0174086166471392
2.44,65.31,-10.12,13.085,65.37,-10.27,13.31,0.7679652953312082,0.430246641635861,0.171275761477151
2.45,65.31,-10.12,13.085,65.34,-10.215,13.39,0.8752534508976906,0.490354004698802,0.190219284510955
2.46,65.31,-10.12,13.085,65.46,-10.28,13.655,0.902075489789311,0.505380845464538,0.37045708447557
2.47,65.31,-10.12,13.085,65.16,-10.11,13.215,0.7679652953312082,0.430246641635861,0.150164996813235
2.48,65.31,-10.12,13.085,65.27,-10.015,13.005,1.1434738398138964,0.640622411795915,0.0971603926119435
2.49,65.31,-10.12,13.085,65.465,-9.945,12.015,0.9825416064641728,0.550461367201502,0.679037218283667
2.50,65.31,-10.12,13.085,65.81,-9.595,11.49,1.33122811205524,0.745810296595821,1.09484739549437
3.1,50.595,-26.245,-17.51,50.625,-26.28,-17.93,1.3465549914218806,0.754397062507566,0.231895104951547
3.2,50.595,-26.245,-17.51,50.465,-26.34,-17.665,0.8867486104226707,0.496794078992551,0.153951384007226
3.3,50.595,-26.245,-17.51,50.345,-26.09,-18.15,1.3465549914218806,0.754397062507566,0.465869422713355
3.4,50.595,-26.245,-17.51,50.795,-25.555,-18.69,1.2545937152220388,0.702876465916612,0.869385842915846
3.5,50.595,-26.245,-17.51,50.81,-26.305,-17.325,0.42694222942346105,0.239191095477535,0.245330608213706
3.6,50.595,-26.245,-17.51,50.72,-25.47,-18.825,1.4385162676217225,0.805917659658763,0.952312348722069
3.7,50.595,-26.245,-17.51,50.265,-26.015,-17.625,0.610864781823145,0.342232289219687,0.362751112149697
3.8,50.595,-26.245,-17.51,50.73,-26.485,-17.745,0.8867486104226707,0.496794078992551,0.195751207614916
3.9,50.595,-26.245,-17.51,50.895,-25.745,-18.1,1.3465549914218806,0.754397062507566,0.567338858937342
3.10,50.595,-26.245,-17.51,50.54,-26.515,-16.8,0.7947873342228289,0.445273482401596,0.472945280877979
3.11,50.595,-26.245,-17.51,50.31,-25.7,-17.625,1.3465549914218806,0.754397062507566,0.415668996966332
3.12,50.595,-26.245,-17.51,50.52,-25.04,-19.08,1.4385162676217225,0.805917659658763,1.22979708992257
3.13,50.595,-26.245,-17.51,50.45,-25.41,-18.55,1.4385162676217225,0.805917659658763,0.842219966690437
3.14,50.595,-26.245,-17.51,50.18,-25.92,-18.115,1.0706711628223546,0.599835272734702,0.594497571662985
3.15,50.595,-26.245,-17.51,50.225,-26.34,-17.65,0.7028260580229869,0.393752885810641,0.377452217330332
3.16,50.595,-26.245,-17.51,50.815,-25.98,-17.235,0.3349809532236191,0.187670498886581,0.27381352631515
3.17,50.595,-26.245,-17.51,50.56,-26.48,-17.62,0.7947873342228289,0.445273482401596,0.115763279420376
3.18,50.595,-26.245,-17.51,50.615,-26.53,-17.735,1.2545937152220388,0.702876465916612,0.152730014253559
3.19,50.595,-26.245,-17.51,50.125,-25.425,-18.035,1.3465549914218806,0.754397062507566,0.751771586627364
3.20,50.595,-26.245,-17.51,50.39,-26.01,-17.41,0.3349809532236191,0.187670498886581,0.232576539921358
3.21,50.595,-26.245,-17.51,50.595,-26.38,-17.56,0.7947873342228289,0.445273482401596,0.0626125798801107
3.22,50.595,-26.245,-17.51,50.705,-26.06,-17.53,0.8867486104226707,0.496794078992551,0.146573674157825
3.23,50.595,-26.245,-17.51,50.8,-26.05,-17.43,0.7947873342228289,0.445273482401596,0.224056904828069
3.24,50.595,-26.245,-17.51,50.67,-26.085,-17.285,0.3349809532236191,0.187670498886581,0.144102903430916
