Pair,L1,a1,b1,L2,a2,b2,DV,DV normF1,DECIEDE2000,GradoDE
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.6699700777855678
1.18,36.39,4.7,-31.36,36.44,6.82,-29.51,3.9126766160743838,2.84105523002454,2.57180409747516,0.6699700777855678
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.7530009246497202
1.20,36.39,4.7,-31.36,36.61,6.75,-29.25,3.7609536356030753,2.73088681894727,2.65957081641735,0.7530009246497202
1.6,36.39,4.7,-31.36,36.5,4.25,-30.87,1.107244319014484,0.80398728853443,0.219908907456849,0.26993242802490386
1.30,36.39,4.7,-31.36,34.52,4.49,-29.65,1.8140463659497286,1.31720722703123,1.72066621704972,0.26993242802490386
1.30,36.39,4.7,-31.36,34.52,4.49,-29.65,1.8140463659497286,1.31720722703123,1.72066621704972,0.42847708560072195
1.47,36.39,4.7,-31.36,36.51,4.77,-31.48,1.3941614818643162,1.01232229459948,0.105930848546823,0.42847708560072195
1.32,36.39,4.7,-31.36,34.93,5.56,-30.91,1.5838528101336264,1.15006011256811,1.49908676484375,0.2808162750126207
1.47,36.39,4.7,-31.36,36.51,4.77,-31.48,1.3941614818643162,1.01232229459948,0.105930848546823,0.2808162750126207
