Pair,L1,a1,b1,L2,a2,b2,DV,DV normF1,DECIEDE2000,GradoDE00
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.7330977777318344
1.17,36.39,4.7,-31.36,36.51,5.52,-31.23,1.3378726026321768,0.971450065746934,0.708936119786286,0.7330977777318344
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.8593759257784213
1.23,36.39,4.7,-31.36,35.75,4.51,-30.75,1.069015971657292,0.776229092333034,0.571453107336841,0.8593759257784213
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.6155339215557791
1.29,36.39,4.7,-31.36,35.03,4.52,-30.93,1.4253874014968224,1.03499591912662,1.13616345999981,0.6155339215557791
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.7053666847406972
1.49,36.39,4.7,-31.36,37.16,4.82,-31.11,1.3531944898592314,0.982575525749733,0.682599130711659,0.7053666847406972
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.796792710020241
1.53,36.39,4.7,-31.36,36.54,5.67,-31.34,1.2758590421020883,0.926421056426043,0.779902996768913,0.796792710020241
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.7264377429666913
1.62,36.39,4.7,-31.36,36.58,4.73,-30.55,1.0553785119190746,0.766326720923443,0.465812494953592,0.7264377429666913
