Pair,L1,a1,b1,L2,a2,b2,DV,DV normF3,DECIEDE2000,GradoDE
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.45064017829152,0.94006822513333,0.18138739665548229
1.5,36.39,4.7,-31.36,36.79,6.06,-27.5,4.517485270468673,3.08268929113968,3.08687181224054,0.18138739665548229
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.45064017829152,0.94006822513333,0.05094808929457796
1.11,36.39,4.7,-31.36,36.33,4.97,-27.67,3.3406150598831137,2.27960417262898,2.15280899128402,0.05094808929457796
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.45064017829152,0.94006822513333,0.22135028566478293
1.15,36.39,4.7,-31.36,35.65,6.67,-28.06,4.545143511886962,3.10156301431292,3.29076375543387,0.22135028566478293
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.45064017829152,0.94006822513333,0.6715267762198417
1.18,36.39,4.7,-31.36,36.44,6.82,-29.51,3.9126766160743838,2.6699735766567,2.57180409747516,0.6715267762198417
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.45064017829152,0.94006822513333,0.7530009246497202
1.20,36.39,4.7,-31.36,36.61,6.75,-29.25,3.7609536356030753,2.56643924777425,2.65957081641735,0.7530009246497202
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.45064017829152,0.94006822513333,0.10728041461155985
1.27,36.39,4.7,-31.36,33.71,4.42,-33.11,3.7403251375786724,2.55236255552708,2.44964785602333,0.10728041461155985
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.45064017829152,0.94006822513333,0.11447193526636275
1.28,36.39,4.7,-31.36,34.1,5.73,-30.67,3.193593237373364,2.17927786889187,2.20307708220486,0.11447193526636275
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.45064017829152,0.94006822513333,0.06726495612874483
1.38,36.39,4.7,-31.36,37.85,6.28,-30.31,3.422378422885075,2.33539871947598,2.13371906187514,0.06726495612874483
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.45064017829152,0.94006822513333,0.09083220409445103
1.45,36.39,4.7,-31.36,36.85,5.0,-27.61,3.343834272926287,2.28180093318222,2.24083131824882,0.09083220409445103
1.6,36.39,4.7,-31.36,36.5,4.25,-30.87,1.107244319014484,0.755573067946395,0.219908907456849,0.2923219844631394
1.30,36.39,4.7,-31.36,34.52,4.49,-29.65,1.8140463659497286,1.23788811072295,1.72066621704972,0.2923219844631394
1.6,36.39,4.7,-31.36,36.5,4.25,-30.87,1.107244319014484,0.755573067946395,0.219908907456849,0.12800000471034698
1.32,36.39,4.7,-31.36,34.93,5.56,-30.91,1.5838528101336264,1.08080620174961,1.49908676484375,0.12800000471034698
1.8,36.39,4.7,-31.36,36.74,3.54,-31.59,2.9138373359660172,1.98837508369124,1.05195351055683,0.05034155179591974
1.20,36.39,4.7,-31.36,36.61,6.75,-29.25,3.7609536356030753,2.56643924777425,2.65957081641735,0.05034155179591974
1.8,36.39,4.7,-31.36,36.74,3.54,-31.59,2.9138373359660172,1.98837508369124,1.05195351055683,0.051976105915264095
1.27,36.39,4.7,-31.36,33.71,4.42,-33.11,3.7403251375786724,2.55236255552708,2.44964785602333,0.051976105915264095
1.9,36.39,4.7,-31.36,36.5,4.51,-30.44,1.3926903584217065,0.95035874958815,0.368563249234066,0.20325923846708857
1.30,36.39,4.7,-31.36,34.52,4.49,-29.65,1.8140463659497286,1.23788811072295,1.72066621704972,0.20325923846708857
1.26,36.39,4.7,-31.36,35.47,5.64,-30.76,1.856347617807345,1.26675408565112,1.2741719039284,0.0523118389132047
1.47,36.39,4.7,-31.36,36.51,4.77,-31.48,1.3941614818643162,0.951362630714416,0.105930848546823,0.0523118389132047
1.30,36.39,4.7,-31.36,34.52,4.49,-29.65,1.8140463659497286,1.23788811072295,1.72066621704972,0.16840402991435788
1.44,36.39,4.7,-31.36,36.14,4.55,-31.14,0.8783499038984887,0.599377680524095,0.219035091864491,0.16840402991435788
1.30,36.39,4.7,-31.36,34.52,4.49,-29.65,1.8140463659497286,1.23788811072295,1.72066621704972,0.4333500764788267
1.47,36.39,4.7,-31.36,36.51,4.77,-31.48,1.3941614818643162,0.951362630714416,0.105930848546823,0.4333500764788267
