Pair,L1,a1,b1,L2,a2,b2,DV,DV normF1,DECIEDE2000,GradoDE00
1.7,44.55673242422589,-31.310796375143724,-32.7788731802628,46.530545021807754,-30.77395212099998,-35.01883695402863,2.46726,2.7034635692255,2.13745107532521,0.20280679315558928
1.13,44.55673242422589,-31.310796375143724,-32.7788731802628,46.81797578643379,-31.787152450414023,-33.695730158203595,1.25493,1.37507094385195,2.19217199733133,0.20280679315558928
2.7,47.85810684183837,-38.116411435822506,-21.618119990958462,48.023546388014864,-38.74322799768565,-24.49476529998522,3.56593,3.90731493454614,1.35788111236025,0.6474709484245902
2.16,47.85810684183837,-38.116411435822506,-21.618119990958462,46.84433500979726,-39.81798719021662,-22.342256266846295,1.45508,1.59438233923812,1.17195838831308,0.6474709484245902
2.16,47.85810684183837,-38.116411435822506,-21.618119990958462,46.84433500979726,-39.81798719021662,-22.342256266846295,1.45508,1.59438233923812,1.17195838831308,0.8025155177222416
2.22,47.85810684183837,-38.116411435822506,-21.618119990958462,47.6186142790859,-41.049723935400905,-20.775894823195195,3.15519,3.45725266854106,1.41247880228429,0.8025155177222416
3.2,39.19377567568642,-23.298601830826186,-22.621934716019375,39.04993420830211,-33.36416521085558,-23.142439681907934,4.14175,4.53826116333087,4.61535635996169,0.6243227373109966
3.17,39.19377567568642,-23.298601830826186,-22.621934716019375,40.320078945417066,-33.03407696572275,-22.779622105264284,5.57697,6.11088220198259,4.64376619724589,0.6243227373109966
3.2,39.19377567568642,-23.298601830826186,-22.621934716019375,39.04993420830211,-33.36416521085558,-23.142439681907934,4.14175,4.53826116333087,4.61535635996169,0.15721541372327116
3.19,39.19377567568642,-23.298601830826186,-22.621934716019375,41.339820752593056,-31.91924429566906,-25.799685850929578,5.89922,6.46398286230332,4.21455545211583,0.15721541372327116
3.3,39.19377567568642,-23.298601830826186,-22.621934716019375,34.92309331220881,-32.998073051442255,-22.50332553981622,4.12514,4.520061002065,5.82776370375739,0.8916567127607957
3.12,39.19377567568642,-23.298601830826186,-22.621934716019375,34.22331041240213,-32.50506366887085,-21.907968117496214,5.77519,6.32807882847995,6.13681843496632,0.8916567127607957
3.9,39.19377567568642,-23.298601830826186,-22.621934716019375,39.38101313405683,-22.822111778362714,-23.428619143951078,2.20266,2.41353204177519,0.559629163064843,0.7381372352339699
3.28,39.19377567568642,-23.298601830826186,-22.621934716019375,39.12194878105564,-21.39510048709109,-22.68424514679551,3.89812,4.27130720251182,1.00656700833841,0.7381372352339699
4.31,29.663367323985213,-17.780886466797956,-15.592666883523131,30.337081387303265,-19.28682384970687,-16.19011095211389,2.27366,2.49132923923918,1.02156283338553,0.28817984754544024
4.32,29.663367323985213,-17.780886466797956,-15.592666883523131,28.02852717548533,-18.742055142517255,-15.634093308968689,0.941847,1.03201488788548,1.38127296753968,0.28817984754544024
4.33,29.663367323985213,-17.780886466797956,-15.592666883523131,27.045883166436575,-18.129734586736916,-15.387501376478884,2.12885,2.3326558284679,2.00626719050211,0.7710812668633394
4.34,29.663367323985213,-17.780886466797956,-15.592666883523131,26.87957235316432,-17.577599677812973,-14.544016710270446,3.64538,3.99437109424352,2.19332427301919,0.7710812668633394
4.47,29.663367323985213,-17.780886466797956,-15.592666883523131,29.214818333022066,-17.90396888358717,-19.338323023631798,3.87343,4.24425350102751,2.11393612066238,0.21882401430584145
4.59,29.663367323985213,-17.780886466797956,-15.592666883523131,30.70729372358924,-17.49828594250466,-20.177606679142635,5.25656,5.75979769438487,2.73680258781549,0.21882401430584145
4.48,29.663367323985213,-17.780886466797956,-15.592666883523131,28.401126719777466,-16.644096828136085,-19.05066563532889,3.96579,4.34545560184124,2.47896603163241,0.2162774831804481
4.59,29.663367323985213,-17.780886466797956,-15.592666883523131,30.70729372358924,-17.49828594250466,-20.177606679142635,5.25656,5.75979769438487,2.73680258781549,0.2162774831804481
6.2,40.73044007492708,-44.325463190280914,36.70721061824512,40.709415621180725,-44.393468298826484,36.918834118802565,0.359186,0.393572734764813,0.0777057147096745,0.5916640800147669
6.18,40.73044007492708,-44.325463190280914,36.70721061824512,40.10272010603382,-43.61572102799524,36.74063370235162,2.0,2.19147035109839,0.615084956234547,0.5916640800147669
6.2,40.73044007492708,-44.325463190280914,36.70721061824512,40.709415621180725,-44.393468298826484,36.918834118802565,0.359186,0.393572734764813,0.0777057147096745,0.18407065407472734
