Pair,L1,a1,b1,L2,a2,b2,DV,DV normF3,DECIEDE2000,GradoDE
1.2,64.46,-30.1,40.245,66.47,-30.35,40.805,1.1166518009222757,0.62559557103018,1.65530543833131,0.5218721033958003
1.46,64.46,-30.1,40.245,64.505,-29.91,40.25,0.902075489789311,0.505380845464538,0.0953915496659332,0.5218721033958003
1.3,64.46,-30.1,40.245,66.43,-30.19,40.02,0.7947873342228289,0.445273482401596,1.61547923608161,0.47738744095354446
1.46,64.46,-30.1,40.245,64.505,-29.91,40.25,0.902075489789311,0.505380845464538,0.0953915496659332,0.47738744095354446
1.6,64.46,-30.1,40.245,66.555,-30.49,41.25,0.9557195675725523,0.535434526996009,1.74761464134554,0.5845039541846262
1.46,64.46,-30.1,40.245,64.505,-29.91,40.25,0.902075489789311,0.505380845464538,0.0953915496659332,0.5845039541846262
1.6,64.46,-30.1,40.245,66.555,-30.49,41.25,0.9557195675725523,0.535434526996009,1.74761464134554,0.5372824825494956
1.50,64.46,-30.1,40.245,64.585,-30.23,40.66,1.33122811205524,0.745810296595821,0.17901840637785,0.5372824825494956
1.8,64.46,-30.1,40.245,66.455,-30.93,41.29,1.3848721898384815,0.775863978127292,1.68131634607193,0.48059804656050115
1.46,64.46,-30.1,40.245,64.505,-29.91,40.25,0.902075489789311,0.505380845464538,0.0953915496659332,0.48059804656050115
1.10,64.46,-30.1,40.245,66.56,-30.405,41.325,1.1166518009222757,0.62559557103018,1.75799684391927,0.5907532685760861
1.46,64.46,-30.1,40.245,64.505,-29.91,40.25,0.902075489789311,0.505380845464538,0.0953915496659332,0.5907532685760861
1.10,64.46,-30.1,40.245,66.56,-30.405,41.325,1.1166518009222757,0.62559557103018,1.75799684391927,0.5493933457454053
1.50,64.46,-30.1,40.245,64.585,-30.23,40.66,1.33122811205524,0.745810296595821,0.17901840637785,0.5493933457454053
7.2,45.64,26.295,-26.63,46.14,26.355,-27.08,0.902075489789311,0.505380845464538,0.53548483496689,0.5137412814715544
7.17,45.64,26.295,-26.63,47.665,26.69,-25.54,1.2507619953803784,0.700729774298615,2.10243080601791,0.5137412814715544
7.2,45.64,26.295,-26.63,46.14,26.355,-27.08,0.902075489789311,0.505380845464538,0.53548483496689,0.6984720621907741
7.35,45.64,26.295,-26.63,47.91,26.65,-25.61,1.3580501509468608,0.760837137361557,2.31355520373228,0.6984720621907741
7.2,45.64,26.295,-26.63,46.14,26.355,-27.08,0.902075489789311,0.505380845464538,0.53548483496689,0.6932994610568873
7.37,45.64,26.295,-26.63,48.145,25.135,-26.055,1.2507619953803784,0.700729774298615,2.49676249793865,0.6932994610568873
7.3,45.64,26.295,-26.63,45.595,25.145,-25.255,0.8216093731144494,0.460300323167332,0.693726804348742,0.5967940952408802
7.37,45.64,26.295,-26.63,48.145,25.135,-26.055,1.2507619953803784,0.700729774298615,2.49676249793865,0.5967940952408802
7.4,45.64,26.295,-26.63,45.58,25.445,-26.655,0.9288975286809318,0.520407686230273,0.470344009808333,0.47438357278916876
7.17,45.64,26.295,-26.63,47.665,26.69,-25.54,1.2507619953803784,0.700729774298615,2.10243080601791,0.47438357278916876
