1.1,64.46,-30.1,40.245,65.685,-29.885,40.815,1.0630077231390345,0.595541889498709,1.04646197867181,47.6551576848121,49.0,0.0,0.0
1.2,64.46,-30.1,40.245,66.47,-30.35,40.805,1.1166518009222757,0.62559557103018,1.65530543833131,43.967766103797835,48.0,0.0643335886209489,0.5218721033958003
1.3,64.46,-30.1,40.245,66.43,-30.19,40.02,0.7947873342228289,0.445273482401596,1.61547923608161,42.025418121503655,47.0,0.055588704288180614,0.47738744095354446
1.4,64.46,-30.1,40.245,65.835,-31.26,42.97,0.7411432564395877,0.415219800870125,1.46600064282006,26.483858824877338,46.0,0.006982681447541446,0.09748263366220852
1.5,64.46,-30.1,40.245,66.34,-29.845,40.77,0.7947873342228289,0.445273482401596,1.5643426010491,41.64368805533512,45.0,0.040789621828551,0.39446589181747455
1.6,64.46,-30.1,40.245,66.555,-30.49,41.25,0.9557195675725523,0.535434526996009,1.74761464134554,38.26352333502293,44.0,0.10145631887343219,0.5845039541846262
1.7,64.46,-30.1,40.245,66.08,-30.315,41.25,1.1166518009222757,0.62559557103018,1.37619011826372,39.877079310051386,43.0,0.00753519806783733,0.14140459144470022
1.8,64.46,-30.1,40.245,66.455,-30.93,41.29,1.3848721898384815,0.775863978127292,1.68131634607193,34.52607015986147,42.0,0.07058208059896759,0.48059804656050115
1.9,64.46,-30.1,40.245,66.125,-30.88,41.895,1.33122811205524,0.745810296595821,1.47986945987955,32.26422628622607,41.0,0.017509805507646366,0.2109398234254984
1.10,64.46,-30.1,40.245,66.56,-30.405,41.325,1.1166518009222757,0.62559557103018,1.75799684391927,34.009377339109,40.0,0.11763119809078271,0.5907532685760861
1.11,64.46,-30.1,40.245,65.695,-31.045,41.785,1.1702958787055167,0.655649252561651,1.15507160129422,32.366038772632855,39.0,0.00014256058958870361,0.00573308927261583
1.12,64.46,-30.1,40.245,65.675,-30.11,39.375,0.8752534508976906,0.490354004698802,1.05802598628082,34.4994052046017,38.0,0.0,0.0
1.13,64.46,-30.1,40.245,65.93,-29.9,39.815,0.902075489789311,0.505380845464538,1.21573834048897,34.4925840455654,37.0,0.0008602270267962801,0.0280975156409979
1.14,64.46,-30.1,40.245,65.925,-29.975,39.62,1.223939956488758,0.685702933532879,1.2236227384263,32.67347680668686,36.0,0.0010387431202881902,0.03162097699590276
1.15,64.46,-30.1,40.245,65.775,-30.27,40.26,1.2507619953803784,0.700729774298615,1.08271906501259,33.6447858514905,35.0,0.0,0.0
1.16,64.46,-30.1,40.245,65.64,-30.45,40.49,1.1702958787055167,0.655649252561651,0.980443430232347,33.09487302673553,34.0,0.0,0.0
1.17,64.46,-30.1,40.245,65.49,-30.33,41.895,1.1702958787055167,0.655649252561651,1.0418459639596,28.69934399017419,33.0,0.0,0.0
1.18,64.46,-30.1,40.245,65.165,-29.835,39.735,0.5802110230898643,0.325058756835955,0.60895249220153,29.209834746159217,32.0,0.0,0.0
1.19,64.46,-30.1,40.245,65.805,-29.795,39.215,1.3848721898384815,0.775863978127292,1.16414773665417,25.527140334352882,31.0,0.0003203073541522951,0.008792478597019074
1.20,64.46,-30.1,40.245,65.66,-30.65,41.56,1.1971179175971374,0.670676093327386,1.08675459525911,26.88397678021201,30.0,0.0,0.0
1.21,64.46,-30.1,40.245,65.355,-30.625,41.325,1.0630077231390345,0.595541889498709,0.827982326498767,27.193555226714185,29.0,0.0,0.0
1.22,64.46,-30.1,40.245,65.435,-29.87,39.6,0.8216093731144494,0.460300323167332,0.834265651337074,25.975727461129832,28.0,0.0,0.0
1.23,64.46,-30.1,40.245,64.965,-31.335,42.2,0.7947873342228289,0.445273482401596,0.816404373852587,20.18382277569341,27.0,0.0,0.0
1.24,64.46,-30.1,40.245,65.33,-30.355,40.725,0.8752534508976906,0.490354004698802,0.736452902436725,25.517477444521724,26.0,0.0,0.0
1.25,64.46,-30.1,40.245,65.075,-29.845,40.095,0.6874991786563465,0.385166119898896,0.517783248298365,24.150690860819616,25.0,0.0,0.0
1.26,64.46,-30.1,40.245,65.54,-30.795,41.145,1.2507619953803784,0.700729774298615,0.953461800583257,22.088867462792855,24.0,0.0,0.0
1.27,64.46,-30.1,40.245,65.365,-30.73,41.36,1.3044060731636198,0.730783455830086,0.843557321425956,20.714497235694115,23.0,0.0,0.0
1.28,64.46,-30.1,40.245,65.18,-30.735,42.0,1.0898297620306552,0.610568730264444,0.849713585767785,18.069352257276897,22.0,0.0,0.0
1.29,64.46,-30.1,40.245,65.365,-29.79,39.3,0.8484314120060701,0.475327163933067,0.817300970059799,19.40839135346549,21.0,0.0,0.0
1.30,64.46,-30.1,40.245,65.305,-30.41,41.13,1.0898297620306552,0.610568730264444,0.761631923594803,19.102224203149458,20.0,0.0,0.0
1.31,64.46,-30.1,40.245,65.185,-30.13,40.965,0.9557195675725523,0.535434526996009,0.659425344810803,18.5428173574762,19.0,0.0,0.0
1.32,64.46,-30.1,40.245,64.865,-30.45,41.135,1.0630077231390345,0.595541889498709,0.455998988428762,17.23309361566739,18.0,0.0,0.0
1.33,64.46,-30.1,40.245,64.685,-29.285,40.005,0.6338551008731055,0.355112438367425,0.38795805710591,16.113766942554204,17.0,0.0,0.0
1.34,64.46,-30.1,40.245,64.52,-30.335,41.31,0.8216093731144494,0.460300323167332,0.384536958181696,14.971653400295185,16.0,0.0,0.0
1.35,64.46,-30.1,40.245,64.785,-30.535,41.505,0.9557195675725523,0.535434526996009,0.514521736064687,13.560787818481513,15.0,0.0,0.0
1.36,64.46,-30.1,40.245,64.58,-29.505,39.985,0.9825416064641728,0.550461367201502,0.261821913062231,13.846699920593945,14.0,0.0,0.0
1.37,64.46,-30.1,40.245,64.645,-29.715,39.635,0.8484314120060701,0.475327163933067,0.270975514494835,12.637894124247527,13.0,0.0,0.0
1.38,64.46,-30.1,40.245,64.805,-29.65,39.72,1.0898297620306552,0.610568730264444,0.356511212429624,11.748600024317161,12.0,0.0,0.0
1.39,64.46,-30.1,40.245,64.42,-30.15,41.395,0.660677139764726,0.370139279133161,0.444303739156833,9.852359793441666,11.0,0.0,0.0
1.40,64.46,-30.1,40.245,64.96,-29.915,40.775,0.7679652953312082,0.430246641635861,0.488203997971417,9.620592130126562,10.0,0.0,0.0
1.41,64.46,-30.1,40.245,65.045,-29.635,39.565,1.4385162676217225,0.805917659658763,0.545735342366942,8.265248766158338,9.0,0.0,0.0
1.42,64.46,-30.1,40.245,64.945,-29.395,38.875,1.3848721898384815,0.775863978127292,0.632759684858548,6.676226706362003,8.0,0.0,0.0
1.43,64.46,-30.1,40.245,64.64,-30.3,39.695,0.6338551008731055,0.355112438367425,0.311825179533679,6.792932962803655,7.0,0.0,0.0
1.44,64.46,-30.1,40.245,64.675,-30.47,40.825,0.7679652953312082,0.430246641635861,0.275984661476642,5.875904477708309,6.0,0.0,0.0
1.45,64.46,-30.1,40.245,64.62,-29.945,39.16,0.8752534508976906,0.490354004698802,0.426595754694833,4.641410613214512,5.0,0.0,0.0
1.46,64.46,-30.1,40.245,64.505,-29.91,40.25,0.902075489789311,0.505380845464538,0.0953915496659332,3.987703536620563,4.0,0.0,0.0
1.47,64.46,-30.1,40.245,64.555,-29.62,39.83,0.7679652953312082,0.430246641635861,0.218518180276339,2.8524831271205464,3.0,0.0,0.0
1.48,64.46,-30.1,40.245,64.585,-30.57,41.295,1.1434738398138964,0.640622411795915,0.379739556479468,2.0,2.0,0.0,0.0
1.49,64.46,-30.1,40.245,64.53,-30.51,41.08,0.9825416064641728,0.550461367201502,0.297996515047133,1.0,1.0,0.0,0.0
1.50,64.46,-30.1,40.245,64.585,-30.23,40.66,1.33122811205524,0.745810296595821,0.17901840637785,0.0,0.0,0.0,0.0
2.1,65.31,-10.12,13.085,65.185,-10.085,12.9,1.0630077231390345,0.595541889498709,0.153290387488623,48.896954361767996,49.0,4.215232101306669e-05,0.0020862537917712446
2.2,65.31,-10.12,13.085,64.985,-9.99,14.145,1.1166518009222757,0.62559557103018,0.762031247591366,46.51033002566096,48.0,0.0,0.0
