Pair,L1,a1,b1,L2,a2,b2,DV,DV normF1,DECIEDE2000,GradoDE
1.720,65.826447,-1.697951,5.454526,67.051346,-1.637203,3.425771,2.08,2.19529913148694,1.96688276018876,0.7112020704683846
3.478,66.627518,-1.538718,3.45059,66.708221,-1.530576,3.61918,1.71328,1.80825100768939,0.161575414091489,0.7112020704683846
1.1145,47.235798,-4.873497,-25.659845,47.365646,-4.688555,-24.64673,0.707434,0.746648675857851,0.493464434274071,0.5545281000761348
1.1293,46.974487,-5.338224,-24.143667,49.0811,-5.199367,-24.532782,0.917782,0.968656743987665,2.08974074194146,0.5545281000761348
1.1145,47.235798,-4.873497,-25.659845,47.365646,-4.688555,-24.64673,0.707434,0.746648675857851,0.493464434274071,0.5931056541452543
1.1304,46.974487,-5.338224,-24.143667,49.093384,-5.260174,-24.724117,0.8413,0.887935172749981,2.10770063923317,0.5931056541452543
1.1151,47.235798,-4.873497,-25.659845,47.066196,-4.81769,-23.221413,1.7506,1.84763974018319,1.04325595340886,0.5037308501851843
1.1316,46.974487,-5.338224,-24.143667,49.689598,-6.203372,-24.980022,1.56788,1.65479115494026,2.81664153973454,0.5037308501851843
1.1154,47.235798,-4.873497,-25.659845,47.610901,-6.321294,-24.666119,1.19904,1.26550551472024,1.2191542186712,0.5157595147833329
1.1292,46.974487,-5.338224,-24.143667,50.132732,-5.439182,-23.602091,1.47228,1.55389182947384,3.14602643706531,0.5157595147833329
1.1156,47.235798,-4.873497,-25.659845,47.867039,-6.135065,-23.704105,1.13909,1.20223234984878,1.34797170427156,0.6217121262079304
1.1292,46.974487,-5.338224,-24.143667,50.132732,-5.439182,-23.602091,1.47228,1.55389182947384,3.14602643706531,0.6217121262079304
1.1156,47.235798,-4.873497,-25.659845,47.867039,-6.135065,-23.704105,1.13909,1.20223234984878,1.34797170427156,0.6217722586545413
1.1302,46.974487,-5.338224,-24.143667,50.08511,-5.116676,-23.47584,1.35755,1.43280208459139,3.11065299128791,0.6217722586545413
1.1188,52.707874,-0.509537,0.432108,53.254585,1.798958,-0.066632,2.36364,2.49466194189797,3.43171717958978,0.5132318791694143
1.1370,52.960438,-0.215942,0.16867,52.817913,0.595608,1.064185,1.81481,1.9154090465451,1.48371041889495,0.5132318791694143
1.1292,46.974487,-5.338224,-24.143667,50.132732,-5.439182,-23.602091,1.47228,1.55389182947384,3.14602643706531,0.5522717480739577
1.1303,46.974487,-5.338224,-24.143667,47.981628,-6.69933,-23.871952,1.31931,1.39244235440482,1.48407683518554,0.5522717480739577
1.1396,61.316254,0.500816,0.336991,63.998638,0.519966,0.388502,1.64045,1.73138387511911,2.27582540874478,0.6142526853718603
7.53,62.650880690858955,0.13654519266420584,0.058882039320318214,63.26843012799614,0.12840079281817296,-0.13780099423930103,1.180666,1.24611300210392,0.557323554866912,0.6142526853718603
1.1396,61.316254,0.500816,0.336991,63.998638,0.519966,0.388502,1.64045,1.73138387511911,2.27582540874478,0.5717422995156894
7.54,62.650880690858955,0.13654519266420584,0.058882039320318214,63.5160681944692,0.10352450549339087,0.08620181826528572,1.572785,1.65996805024792,0.731850287746402,0.5717422995156894
1.1396,61.316254,0.500816,0.336991,63.998638,0.519966,0.388502,1.64045,1.73138387511911,2.27582540874478,0.7175880534692619
