Pair,L1,a1,b1,L2,a2,b2,DV,DV normF1,DECIEDE2000,GradoDE00
1.405,90.802719,-2.08146,1.455719,91.098381,-0.745106,1.522774,2.07852,2.1937370917203,1.84439998431562,0.45826449191347024
1.417,90.802719,-2.08146,1.455719,92.420166,-2.623296,2.606,0.572519,0.604255030509505,1.5688152159157,0.45826449191347024
1.424,41.720253,3.289109,-17.93857,41.657719,4.867814,-16.720016,3.17201,3.34784172984033,2.26753425900935,0.6547875854598098
1.428,41.720253,3.289109,-17.93857,42.077229,5.234933,-18.750866,1.58273,1.67046432422035,1.9802384544281,0.6547875854598098
1.608,64.314461,-0.04561,-0.044272,62.701313,-0.078866,-0.016986,1.4,1.47760518465467,1.35410172167071,0.6625068266945023
7.416,63.78670046345174,0.03242080829907179,0.10035764877245335,61.68871986942695,0.16649838872390132,-0.006524398489138328,2.999064,3.16530893965084,1.7919385620168,0.6625068266945023
1.723,65.826447,-1.626604,5.562673,65.787575,-0.392725,1.412608,4.44,4.68611929990481,3.8801300450876,0.7496765994209834
3.486,66.627518,-1.538718,3.45059,65.99086,0.428235,0.125481,1.71328,1.80825100768939,4.17660785982174,0.7496765994209834
1.731,40.361057,-22.629972,-20.694771,41.008755,-26.057306,-23.354427,2.0,2.11086454950667,1.86667094806585,0.7333282921267666
3.246,39.193775,-23.298607,-22.621935,41.047153,-26.06106,-24.810497,4.00997,4.23225175879263,2.15578470208678,0.7333282921267666
1.731,40.361057,-22.629972,-20.694771,41.008755,-26.057306,-23.354427,2.0,2.11086454950667,1.86667094806585,0.5543666029725087
3.247,39.193775,-23.298607,-22.621935,41.058342,-24.492168,-25.305843,4.48726,4.73599902920965,2.05201069237894,0.5543666029725087
1.756,51.916264,42.040627,55.536186,51.336044,41.654499,52.876324,0.9,0.949889047278001,1.13686932828116,0.49147467637680614
3.396,52.495605,42.108311,56.62326,51.854164,40.490696,54.537426,2.3629,2.49388092201465,0.901179621041073,0.49147467637680614
1.806,46.803467,11.959779,-15.394556,46.974487,8.613555,-14.298701,3.1,3.27184005173534,2.82733868722919,0.4673555076456263
1.1274,46.882519,11.672404,-14.785732,47.981628,9.275043,-12.686072,1.56863,1.65558272914632,2.35018550579429,0.4673555076456263
1.813,46.431919,-4.950848,-25.982868,47.131535,-1.512309,-26.65633,2.95,3.11352521052234,2.82851425289576,0.5316401059634613
