Pair,L1,a1,b1,L2,a2,b2,DV,DECIEDE2000,DV normF1,DV normF3,delta_L,delta_a,delta_b,L_med,a_med,b_med,ratio_V_E,abs_diff,norm_abs_diff
1.49,36.39,4.7,-31.36,37.16,4.82,-31.11,1.3531944898592314,0.682599130711659,0.982575525749733,0.923407142211273,0.769999999999996,0.1200000000000001,0.25,36.775,4.76,-31.235,1.9824146076277795,0.6705953591475724,0.4955646536232701
1.50,36.39,4.7,-31.36,36.55,4.57,-31.52,1.0276465918941462,0.221480797259698,0.74619014330994,0.701256330656411,0.1599999999999966,0.1299999999999999,0.16000000000000014,36.47,4.635,-31.439999999999998,4.6398902296224165,0.8061657946344483,0.7844776601302741
1.51,36.39,4.7,-31.36,36.63,5.97,-30.24,2.319533848711325,1.54669923639581,1.68424953546439,1.58282799597226,0.240000000000002,1.2699999999999996,1.120000000000001,36.510000000000005,5.335,-30.799999999999997,1.4996670281009143,0.772834612315515,0.3331853132523577
1.52,36.39,4.7,-31.36,36.96,5.26,-30.65,1.5935708637734705,0.913741255744999,1.15711654243749,1.08743771003486,0.5700000000000003,0.5599999999999996,0.7100000000000009,36.675,4.98,-31.005,1.744006688994447,0.6798296080284715,0.4266077041544749
1.53,36.39,4.7,-31.36,36.54,5.67,-31.34,1.2758590421020883,0.779902996768913,0.926421056426043,0.870634162748943,0.14999999999999858,0.9699999999999998,0.019999999999999574,36.465,5.1850000000000005,-31.35,1.635920166677098,0.4959560453331754,0.38872322770650397
1.54,36.39,4.7,-31.36,36.58,5.58,-32.6,1.2684149321056604,0.399502085214153,0.921015772595048,0.865554372377193,0.18999999999999773,0.8799999999999999,1.240000000000002,36.485,5.140000000000001,-31.98,3.174989507878882,0.8689128468915074,0.6850383295031153
1.55,36.39,4.7,-31.36,35.87,7.41,-33.08,3.1263696177276716,1.4711255614569,2.27010551239707,2.13340510605651,0.5200000000000031,2.71,1.7199999999999989,36.129999999999995,6.055,-32.22,2.125154845726682,1.6552440562707715,0.5294460534530145
1.56,36.39,4.7,-31.36,37.38,7.74,-35.1,3.233627033197518,1.45291144086977,2.34798678645856,2.20659655325647,0.990000000000002,3.04,3.740000000000002,36.885000000000005,6.220000000000001,-33.230000000000004,2.2256188092483615,1.7807155923277478,0.5506867593249399
1.57,36.39,4.7,-31.36,37.78,7.87,-34.9,3.9878054771205758,1.72669711506252,2.89560746227317,2.72124080198629,1.3900000000000006,3.17,3.539999999999999,37.085,6.285,-33.129999999999995,2.30949912409316,2.2611083620580557,0.5670056813111405
1.58,36.39,4.7,-31.36,35.82,6.94,-35.04,2.4915475668233817,1.07911939813991,1.80915136639042,1.70020853286723,0.5700000000000003,2.24,3.6799999999999997,36.105000000000004,5.82,-33.2,2.308871074701482,1.4124281686834717,0.5668879000842718
1.59,36.39,4.7,-31.36,36.53,0.41,-31.04,5.721166380424134,3.26490645098958,4.15422772208465,3.90406991464399,0.14000000000000057,4.29,0.3200000000000003,36.46,2.555,-31.2,1.7523216865640208,2.456259929434554,0.4293285259819926
1.60,36.39,4.7,-31.36,36.75,2.26,-32.04,4.615096171323134,2.21683437959815,3.35109297304773,3.14929804827486,0.35999999999999943,2.4400000000000004,0.6799999999999997,36.57,3.48,-31.7,2.0818407598306377,2.3982617917249835,0.5196558646182563
1.61,36.39,4.7,-31.36,36.25,3.55,-32.21,2.7401042481185933,1.2809055390295,1.98963223097936,1.8698212649437,0.14000000000000057,1.1500000000000004,0.8500000000000014,36.32,4.125,-31.785,2.1391930649745543,1.4591987090890932,0.5325340120028178
1.62,36.39,4.7,-31.36,36.58,4.73,-30.55,1.0553785119190746,0.465812494953592,0.766326720923443,0.72018033100113,0.18999999999999773,0.03000000000000025,0.8099999999999987,36.485,4.715,-30.955,2.2656723919751176,0.5895660169654826,0.558629922580857
1.63,36.39,4.7,-31.36,37.31,5.69,-30.18,2.7707196570879407,1.5537524073698,2.01186255471813,1.8907129309542,0.9200000000000017,0.9900000000000002,1.1799999999999997,36.85,5.195,-30.77,1.7832439983117934,1.2169672497181407,0.4392242449234159
1.64,36.39,4.7,-31.36,36.94,3.43,-26.56,3.2158912468092296,1.84244486675205,2.33510855691926,2.19449382036319,0.5499999999999972,1.27,4.800000000000001,36.665,4.065,-28.96,1.7454477488560667,1.3734463800571795,0.42708110263144505
1.65,36.39,4.7,-31.36,36.96,4.18,-29.62,1.548969254280965,0.766572026969221,1.12473062103528,1.057001992529,0.5700000000000003,0.5200000000000005,1.7399999999999984,36.675,4.4399999999999995,-30.490000000000002,2.0206441114013076,0.782397227311744,0.5051083000158232
1.66,36.39,4.7,-31.36,35.94,4.42,-31.57,1.4415567248474217,0.490265766101595,1.04673671629046,0.983704697000127,0.45000000000000284,0.28000000000000025,0.21000000000000085,36.165,4.5600000000000005,-31.465,2.9403577030673977,0.9512909587458267,0.6599053243545505
2.1,61.96103679248142,-22.583205981793142,-20.252326875959902,60.3627859659851,-18.633480098811273,-21.506125278794563,3.34444533333333,2.82647288848116,2.42845367439659,2.28221791475618,1.5982508264963258,3.9497258829818698,1.2537984028346614,61.16191137923326,-20.60834304030221,-20.879226077377233,1.1832575312432065,0.5179724448521701,0.15487544064027015
