Pair,L1,a1,b1,L2,a2,b2,DV,DECIEDE2000,DV normF1,DV normF3,delta_L,delta_a,delta_b,L_med,a_med,b_med,ratio_V_E,abs_diff,norm_abs_diff
1.1,64.46,-30.1,40.245,65.685,-29.885,40.815,1.0630077231390345,1.04646197867181,0.826932138207015,0.595541889498709,1.2250000000000085,0.21499999999999986,0.5700000000000003,65.07249999999999,-29.9925,40.53,1.0158111271968175,0.016545744467224566,0.015565027507796819
1.2,64.46,-30.1,40.245,66.47,-30.35,40.805,1.1166518009222757,1.65530543833131,0.868662796567137,0.62559557103018,2.010000000000005,0.25,0.5600000000000023,65.465,-30.225,40.525,0.6745895798985394,0.5386536374090343,0.48238281305037206
1.3,64.46,-30.1,40.245,66.43,-30.19,40.02,0.7947873342228289,1.61547923608161,0.618278847184324,0.445273482401596,1.970000000000013,0.08999999999999986,0.22499999999999432,65.445,-30.145000000000003,40.1325,0.49198238886599704,0.820691901858781,1.0325930792904363
1.4,64.46,-30.1,40.245,65.835,-31.26,42.97,0.7411432564395877,1.46600064282006,0.576548188824202,0.415219800870125,1.375,1.1600000000000001,2.7250000000000014,65.1475,-30.68,41.6075,0.5055545231606031,0.7248573863804724,0.978026014679837
1.5,64.46,-30.1,40.245,66.34,-29.845,40.77,0.7947873342228289,1.5643426010491,0.618278847184324,0.445273482401596,1.8800000000000097,0.25500000000000256,0.5250000000000057,65.4,-29.9725,40.5075,0.5080647507660747,0.7695552668262711,0.9682530567884758
1.6,64.46,-30.1,40.245,66.555,-30.49,41.25,0.9557195675725523,1.74761464134554,0.743470822264689,0.535434526996009,2.095000000000013,0.389999999999997,1.0050000000000026,65.5075,-30.295,40.7475,0.5468708858434859,0.7918950737729877,0.828585183157597
1.7,64.46,-30.1,40.245,66.08,-30.315,41.25,1.1166518009222757,1.37619011826372,0.868662796567137,0.62559557103018,1.6200000000000045,0.21499999999999986,1.0050000000000026,65.27,-30.207500000000003,40.7475,0.8114080934687274,0.2595383173414443,0.2324254677193539
1.8,64.46,-30.1,40.245,66.455,-30.93,41.29,1.3848721898384815,1.68131634607193,1.07731608758983,0.775863978127292,1.9950000000000045,0.8299999999999983,1.0450000000000017,65.4575,-30.515,40.7675,0.8236832956809608,0.29644415623344855,0.21405885553522752
1.9,64.46,-30.1,40.245,66.125,-30.88,41.895,1.33122811205524,1.47986945987955,1.03558542922971,0.745810296595821,1.6650000000000063,0.7799999999999976,1.6500000000000057,65.29249999999999,-30.490000000000002,41.07,0.899557796985711,0.14864134782431004,0.1116573082904403
1.10,64.46,-30.1,40.245,66.56,-30.405,41.325,1.1166518009222757,1.75799684391927,0.868662796567137,0.62559557103018,2.1000000000000085,0.3049999999999997,1.0800000000000054,65.50999999999999,-30.2525,40.785,0.6351841894082318,0.6413450429969942,0.5743464900096359
1.11,64.46,-30.1,40.245,65.695,-31.045,41.785,1.1702958787055167,1.15507160129422,0.910393454927258,0.655649252561651,1.2349999999999994,0.9450000000000003,1.5399999999999991,65.07749999999999,-30.5725,41.015,1.013180374602802,0.015224277411296727,0.013008913109330637
1.12,64.46,-30.1,40.245,65.675,-30.11,39.375,0.8752534508976906,1.05802598628082,0.680874834724506,0.490354004698802,1.2150000000000034,0.00999999999999801,0.8699999999999974,65.0675,-30.105,39.81,0.8272513732362434,0.18277253538312932,0.20882241022511708
1.13,64.46,-30.1,40.245,65.93,-29.9,39.815,0.902075489789311,1.21573834048897,0.701740163904567,0.505380845464538,1.470000000000013,0.20000000000000284,0.4299999999999997,65.195,-30.0,40.03,0.7419980591255336,0.31366285069965893,0.3477124186415992
1.14,64.46,-30.1,40.245,65.925,-29.975,39.62,1.223939956488758,1.2236227384263,0.952124112509463,0.685702933532879,1.4650000000000034,0.125,0.625,65.1925,-30.0375,39.9325,1.0002592441708027,0.0003172180624579912,0.0002591777975031139
1.15,64.46,-30.1,40.245,65.775,-30.27,40.26,1.2507619953803784,1.08271906501259,0.972989441689524,0.700729774298615,1.315000000000012,0.16999999999999815,0.015000000000000568,65.1175,-30.185000000000002,40.2525,1.155204553649039,0.1680429303677884,0.1343524434337575
1.16,64.46,-30.1,40.245,65.64,-30.45,40.49,1.1702958787055167,0.980443430232347,0.910393454927258,0.655649252561651,1.1800000000000068,0.34999999999999787,0.24500000000000455,65.05,-30.275,40.3675,1.19363936911132,0.18985244847316962,0.16222602485872417
1.17,64.46,-30.1,40.245,65.49,-30.33,41.895,1.1702958787055167,1.0418459639596,0.910393454927258,0.655649252561651,1.0300000000000011,0.22999999999999687,1.6500000000000057,64.975,-30.215,41.07,1.1232906956172715,0.1284499147459166,0.10975849524330432
1.18,64.46,-30.1,40.245,65.165,-29.835,39.735,0.5802110230898643,0.60895249220153,0.451356214521754,0.325058756835955,0.7050000000000125,0.26500000000000057,0.509999999999998,64.8125,-29.9675,39.989999999999995,0.9528017859643546,0.02874146911166575,0.0495362340912954
1.19,64.46,-30.1,40.245,65.805,-29.795,39.215,1.3848721898384815,1.16414773665417,1.07731608758983,0.775863978127292,1.345000000000013,0.3049999999999997,1.029999999999994,65.1325,-29.9475,39.730000000000004,1.189601753321348,0.22072445318431155,0.1593825442120202
1.20,64.46,-30.1,40.245,65.66,-30.65,41.56,1.1971179175971374,1.08675459525911,0.931258784107319,0.670676093327386,1.2000000000000028,0.5499999999999972,1.3150000000000048,65.06,-30.375,40.9025,1.1015531213007301,0.11036332233802737,0.09219085323470763
1.21,64.46,-30.1,40.245,65.355,-30.625,41.325,1.0630077231390345,0.827982326498767,0.826932138207015,0.595541889498709,0.8950000000000102,0.5249999999999986,1.0800000000000054,64.9075,-30.3625,40.785,1.2838531546322376,0.23502539664026745,0.22109472142417627
1.22,64.46,-30.1,40.245,65.435,-29.87,39.6,0.8216093731144494,0.834265651337074,0.639144176364385,0.460300323167332,0.9750000000000085,0.23000000000000043,0.644999999999996,64.94749999999999,-29.985,39.9225,0.9848294374973129,0.012656278222624606,0.015404252460320152
1.23,64.46,-30.1,40.245,64.965,-31.335,42.2,0.7947873342228289,0.816404373852587,0.618278847184324,0.445273482401596,0.5050000000000097,1.2349999999999994,1.9550000000000054,64.7125,-30.7175,41.2225,0.9735216501826545,0.02161703962975814,0.02719852049944596
1.24,64.46,-30.1,40.245,65.33,-30.355,40.725,0.8752534508976906,0.736452902436725,0.680874834724506,0.490354004698802,0.8700000000000045,0.254999999999999,0.480000000000004,64.895,-30.2275,40.485,1.1884717227853134,0.13880054846096557,0.1585832631222689
