Pair,L1,a1,b1,L2,a2,b2,DV,DV normF3,DECIEDE2000,GradoDE
1.1,23.67144196289938,16.349602964549128,-43.363049185896905,17.82882319925926,28.757412725792907,-44.48674923961444,7.74,8.81497745667659,8.43362801433289,0.3089578296707875
1.10,23.67144196289938,16.349602964549128,-43.363049185896905,18.89043809956666,26.23130625988518,-44.129720957831765,7.41,8.43914508449271,6.90298241468329,0.3089578296707875
1.4,23.67144196289938,16.349602964549128,-43.363049185896905,31.485669653905248,-0.9596820297139153,-38.734852228451665,8.62,9.81719711583362,12.0153164930494,0.2281665831732839
1.29,23.67144196289938,16.349602964549128,-43.363049185896905,30.207473593007386,1.350868116623799,-40.14225884243871,8.43,9.60080878033381,10.5392989010468,0.2281665831732839
1.7,23.67144196289938,16.349602964549128,-43.363049185896905,29.316355299151013,2.953651940777624,-40.14131485714789,6.3,7.17498165078327,9.18868866414739,0.4533187495203565
1.28,23.67144196289938,16.349602964549128,-43.363049185896905,28.093810169619815,5.617385179791795,-40.97903998756054,6.14,6.99275989457291,7.34356641584681,0.4533187495203565
1.23,23.67144196289938,16.349602964549128,-43.363049185896905,28.98159561193605,4.002478486655248,-40.587335026495275,8.11,9.23636526791307,8.552094221166,0.477966653239784
1.29,23.67144196289938,16.349602964549128,-43.363049185896905,30.207473593007386,1.350868116623799,-40.14225884243871,8.43,9.60080878033381,10.5392989010468,0.477966653239784
1.28,23.67144196289938,16.349602964549128,-43.363049185896905,28.093810169619815,5.617385179791795,-40.97903998756054,6.14,6.99275989457291,7.34356641584681,0.48615566241620467
1.38,23.67144196289938,16.349602964549128,-43.363049185896905,26.790902071794847,8.027616832855827,-41.66870809317559,5.88,6.69664954073106,5.61011989854543,0.48615566241620467
1.35,23.67144196289938,16.349602964549128,-43.363049185896905,24.064740274225223,14.70064135699825,-42.54622518678733,2.03,2.31193853191905,0.851492488324097,0.2625372536010411
1.36,23.67144196289938,16.349602964549128,-43.363049185896905,23.83990117030047,13.011658490286433,-43.22720702459477,2.36,2.68777090410294,2.25046368273068,0.2625372536010411
2.6,20.043897069064762,-17.323029845872945,-9.475182938098081,24.35289153637987,-24.721010217993168,-9.459095411692452,3.7,4.21387811236478,5.31665995022216,0.2452573405401312
2.26,20.043897069064762,-17.323029845872945,-9.475182938098081,22.655041002712686,-22.018371269046185,-8.384326262348797,3.7,4.21387811236478,3.67964201705289,0.2452573405401312
2.10,20.043897069064762,-17.323029845872945,-9.475182938098081,17.224257903286855,-10.57240506409557,-3.4486626049268776,4.07,4.63526592360126,6.3408508732656,0.26054083995753413
2.11,20.043897069064762,-17.323029845872945,-9.475182938098081,18.271992667690057,-13.04226703350314,-4.645625598113479,3.54,4.03165635615441,4.28857384925756,0.26054083995753413
2.10,20.043897069064762,-17.323029845872945,-9.475182938098081,17.224257903286855,-10.57240506409557,-3.4486626049268776,4.07,4.63526592360126,6.3408508732656,0.281123080161543
2.12,20.043897069064762,-17.323029845872945,-9.475182938098081,17.776853990906496,-11.904444957436949,-4.648872552147676,4.12,4.692210222417,4.94653722567201,0.281123080161543
2.12,20.043897069064762,-17.323029845872945,-9.475182938098081,17.776853990906496,-11.904444957436949,-4.648872552147676,4.12,4.692210222417,4.94653722567201,0.25632417751274356
2.15,20.043897069064762,-17.323029845872945,-9.475182938098081,17.456825084747557,-10.07830172811594,-2.52885379713933,4.67,5.31859750939014,7.02948816667291,0.25632417751274356
2.18,20.043897069064762,-17.323029845872945,-9.475182938098081,13.767251552875578,-6.949441761687061,-8.47285316940991,5.49,6.25248400996828,9.41475480749351,0.21468973316689063
2.21,20.043897069064762,-17.323029845872945,-9.475182938098081,15.167766421225682,-9.12297184313951,-8.383589072151409,4.89,5.5691524241794,7.14997023172358,0.21468973316689063
2.30,20.043897069064762,-17.323029845872945,-9.475182938098081,26.448509313798247,-28.98413244233003,-5.932359194136794,5.93,6.7535938395468,8.65584661904371,0.2810612664752493
2.31,20.043897069064762,-17.323029845872945,-9.475182938098081,27.680607792421142,-31.64249892594448,-4.025806298414425,5.79,6.59414980286272,10.5993880071804,0.2810612664752493
2.36,20.043897069064762,-17.323029845872945,-9.475182938098081,17.030575727670154,-12.618930925432121,-10.986784146406347,4.42,5.03387601531144,4.40254972075122,0.24950251194169523
2.37,20.043897069064762,-17.323029845872945,-9.475182938098081,16.353595435859468,-11.248757565586354,-11.820816517864252,4.84,5.51220812536366,5.82294346430511,0.24950251194169523
2.37,20.043897069064762,-17.323029845872945,-9.475182938098081,16.353595435859468,-11.248757565586354,-11.820816517864252,4.84,5.51220812536366,5.82294346430511,0.5485889090943882
2.38,20.043897069064762,-17.323029845872945,-9.475182938098081,15.79380115798159,-9.563791117570913,-13.605242146268681,5.25,5.97915137565273,7.7554512113315,0.5485889090943882
3.19,54.02700454685316,-20.12756814617139,-27.127244338499512,55.4835242745111,-27.088833319909522,-26.43679024974459,5.16,5.8766516377844,3.82226331819927,0.35188435562373743
3.31,54.02700454685316,-20.12756814617139,-27.127244338499512,57.65639470646465,-27.784822489877403,-25.48203399233269,5.4,6.14998427209995,5.31782904830462,0.35188435562373743
3.22,54.02700454685316,-20.12756814617139,-27.127244338499512,48.27055002376915,-15.652706535497163,-30.80059875078154,5.74,6.53720550404698,6.57297337128714,0.432775989043062
3.45,54.02700454685316,-20.12756814617139,-27.127244338499512,49.71155468902056,-17.032623519712075,-29.632338683891124,5.26,5.99054023541588,4.81476576715046,0.432775989043062
3.23,54.02700454685316,-20.12756814617139,-27.127244338499512,49.55940056881151,-2.664366381969707,-29.03491450765725,8.92,10.1588629087281,12.1938450124304,0.4243036089555847
3.27,54.02700454685316,-20.12756814617139,-27.127244338499512,49.914403043139615,-5.727224853096291,-28.354235271595265,9.02,10.2727515063595,9.93733707322326,0.4243036089555847
3.25,54.02700454685316,-20.12756814617139,-27.127244338499512,55.52396842844263,-26.69953907414946,-26.924500047395107,5.5,6.26387286973143,3.58525062016323,0.5122523685340891
3.31,54.02700454685316,-20.12756814617139,-27.127244338499512,57.65639470646465,-27.784822489877403,-25.48203399233269,5.4,6.14998427209995,5.31782904830462,0.5122523685340891
4.4,20.043897069064762,2.6531209380629974,-21.62241478773269,26.761927427271125,-9.570837554410073,-17.223968135092015,4.99,5.68304102181088,12.559690400078,0.2506579152024135
4.6,20.043897069064762,2.6531209380629974,-21.62241478773269,27.56922855220018,-11.088441473570077,-16.537650159386896,5.33,6.07026225375791,13.9530756790892,0.2506579152024135
4.4,20.043897069064762,2.6531209380629974,-21.62241478773269,26.761927427271125,-9.570837554410073,-17.223968135092015,4.99,5.68304102181088,12.559690400078,0.2607178630178484
4.7,20.043897069064762,2.6531209380629974,-21.62241478773269,25.13979375335549,-6.868636038196457,-18.870306769188407,4.87,5.5463747046531,9.84301283691533,0.2607178630178484
4.13,20.043897069064762,2.6531209380629974,-21.62241478773269,24.060286142412266,-5.798916345268912,-21.065315015672216,5.4,6.14998427209995,8.64126506665325,0.311315952964358
4.16,20.043897069064762,2.6531209380629974,-21.62241478773269,26.00452831719472,-8.437771766616226,-21.45140137371936,5.04,5.73998532062662,11.2086513367403,0.311315952964358
4.17,20.043897069064762,2.6531209380629974,-21.62241478773269,19.87846236061725,4.145507970685053,-16.836421313384864,3.34,3.80387916089145,3.99605887996974,0.3306292907300554
4.37,20.043897069064762,2.6531209380629974,-21.62241478773269,19.557510758991157,3.61745348446163,-18.503286028910072,3.11,3.54193538633904,2.57061074927762,0.3306292907300554
4.18,20.043897069064762,2.6531209380629974,-21.62241478773269,18.27628893498683,7.625366361967339,-11.905441675901296,5.51,6.27526172949458,10.2965986506444,0.8221926384982798
4.21,20.043897069064762,2.6531209380629974,-21.62241478773269,19.013438612397607,9.09328835967993,-10.842846146054852,5.6,6.37776146736291,12.1072882606604,0.8221926384982798
4.19,20.043897069064762,2.6531209380629974,-21.62241478773269,19.30481182136115,6.851701032789426,-13.333251204449192,4.8,5.46665268631107,8.67541992644934,0.3870097333330563
4.47,20.043897069064762,2.6531209380629974,-21.62241478773269,19.05227550172973,4.643317169489403,-15.168605085685726,4.35,4.9541539969694,5.5024783835713,0.3870097333330563
4.20,20.043897069064762,2.6531209380629974,-21.62241478773269,19.0911152526718,6.221392629080391,-14.019336899372114,3.77,4.29360013070682,7.67984441597951,0.319230467321832
4.47,20.043897069064762,2.6531209380629974,-21.62241478773269,19.05227550172973,4.643317169489403,-15.168605085685726,4.35,4.9541539969694,5.5024783835713,0.319230467321832
4.22,20.043897069064762,2.6531209380629974,-21.62241478773269,22.992300886575443,-3.7120989602842935,-21.0535216977774,3.41,3.88360117923349,6.58895213023695,0.26857687666584545
4.23,20.043897069064762,2.6531209380629974,-21.62241478773269,21.867587991359223,-0.5681240582563196,-21.857516225398854,3.06,3.4849910875233,3.55208483732537,0.26857687666584545
4.22,20.043897069064762,2.6531209380629974,-21.62241478773269,22.992300886575443,-3.7120989602842935,-21.0535216977774,3.41,3.88360117923349,6.58895213023695,0.4450343849506032
4.30,20.043897069064762,2.6531209380629974,-21.62241478773269,22.16077431986706,-0.9146462641191622,-22.090192653098363,3.17,3.61026854491793,3.99542448909524,0.4450343849506032
4.22,20.043897069064762,2.6531209380629974,-21.62241478773269,22.992300886575443,-3.7120989602842935,-21.0535216977774,3.41,3.88360117923349,6.58895213023695,0.33765512611271453
4.35,20.043897069064762,2.6531209380629974,-21.62241478773269,21.281705865901863,-1.157169991051088,-21.669726249764455,3.0,3.41665792894442,3.95475251892124,0.33765512611271453
4.22,20.043897069064762,2.6531209380629974,-21.62241478773269,22.992300886575443,-3.7120989602842935,-21.0535216977774,3.41,3.88360117923349,6.58895213023695,0.5644841147994824
4.46,20.043897069064762,2.6531209380629974,-21.62241478773269,24.12893310039248,-5.445810075378504,-19.699661580250762,3.76,4.28221127094367,8.34895844552828,0.5644841147994824
4.25,20.043897069064762,2.6531209380629974,-21.62241478773269,16.045749984835844,7.699565292032751,-17.222289651785516,5.38,6.12720655257365,7.6842956294771,0.3883260508289068
4.28,20.043897069064762,2.6531209380629974,-21.62241478773269,14.951493184138759,10.210747367256467,-17.233101431602694,5.86,6.67387182120476,10.0421679980628,0.3883260508289068
4.25,20.043897069064762,2.6531209380629974,-21.62241478773269,16.045749984835844,7.699565292032751,-17.222289651785516,5.38,6.12720655257365,7.6842956294771,0.3553006433200921
4.34,20.043897069064762,2.6531209380629974,-21.62241478773269,14.673925145660178,10.555796404208312,-16.687708625933475,5.04,5.73998532062662,10.6580618478352,0.3553006433200921
4.26,20.043897069064762,2.6531209380629974,-21.62241478773269,17.36668658587552,5.442753510870036,-18.767229038251244,3.26,3.71276828278627,4.53589470173787,0.5644380274323414
4.37,20.043897069064762,2.6531209380629974,-21.62241478773269,19.557510758991157,3.61745348446163,-18.503286028910072,3.11,3.54193538633904,2.57061074927762,0.5644380274323414
4.26,20.043897069064762,2.6531209380629974,-21.62241478773269,17.36668658587552,5.442753510870036,-18.767229038251244,3.26,3.71276828278627,4.53589470173787,0.4998077129083607
4.38,20.043897069064762,2.6531209380629974,-21.62241478773269,18.092233465274767,4.5657750825400525,-21.543341135583038,3.09,3.51915766681275,2.36802810013516,0.4998077129083607
4.28,20.043897069064762,2.6531209380629974,-21.62241478773269,14.951493184138759,10.210747367256467,-17.233101431602694,5.86,6.67387182120476,10.0421679980628,0.2916887721143579
4.33,20.043897069064762,2.6531209380629974,-21.62241478773269,14.568729738794595,12.807592731145235,-18.273807065522806,5.63,6.41192804665235,11.5448213676718,0.2916887721143579
5.5,50.68720611576005,-23.386520281352187,-15.163931924496543,47.47793702496022,-22.627096805837297,-17.1849811916853,3.07,3.49637994728645,3.48369304140725,0.26260333243729844
5.11,50.68720611576005,-23.386520281352187,-15.163931924496543,48.62516047957216,-23.669649097317002,-15.564223161953073,3.33,3.7924903011283,2.07436398460447,0.26260333243729844
5.8,50.68720611576005,-23.386520281352187,-15.163931924496543,53.12670523514443,-31.691356896149657,-15.504817765151667,5.63,6.41192804665235,4.64747310877115,0.40887982531822264
5.33,50.68720611576005,-23.386520281352187,-15.163931924496543,51.5719986932351,-29.301426519190986,-16.582199565539902,5.86,6.67387182120476,2.90360570050865,0.40887982531822264
5.20,50.68720611576005,-23.386520281352187,-15.163931924496543,55.71821077372577,-33.40447224501253,-14.585702468145389,7.47,8.5074782430716,6.93556772179585,0.39664992953836564
5.39,50.68720611576005,-23.386520281352187,-15.163931924496543,53.99334676257179,-31.39196015179524,-16.411726069545995,7.43,8.461922804019,4.93099190059214,0.39664992953836564
5.33,50.68720611576005,-23.386520281352187,-15.163931924496543,51.5719986932351,-29.301426519190986,-16.582199565539902,5.86,6.67387182120476,2.90360570050865,0.2502949750932155
5.38,50.68720611576005,-23.386520281352187,-15.163931924496543,53.569811871132984,-30.603324061084457,-15.993998888884796,5.37,6.11581769281051,4.43893904223845,0.2502949750932155
6.39,42.763245421570275,-43.70661263394299,11.080605123325926,43.4641780152553,-52.6162744158562,5.73448102495785,7.09,8.07470157207197,4.52500460373482,0.23531295769090033
6.46,42.763245421570275,-43.70661263394299,11.080605123325926,44.106154261709854,-53.57993664849184,2.959708405977679,7.32,8.33664534662438,6.01466614177689,0.23531295769090033
7.6,71.55497084573587,-12.309538378719287,-10.231975743046151,70.73107104761955,-19.921305192166283,-13.389373769361912,5.06,5.76276304015291,5.12562212771801,0.2983779234080954
7.34,71.55497084573587,-12.309538378719287,-10.231975743046151,70.16834331733443,-16.7657663772528,-13.329005733206012,5.19,5.91081821707384,3.48507930320782,0.2983779234080954
7.6,71.55497084573587,-12.309538378719287,-10.231975743046151,70.73107104761955,-19.921305192166283,-13.389373769361912,5.06,5.76276304015291,5.12562212771801,0.24715521677726734
7.40,71.55497084573587,-12.309538378719287,-10.231975743046151,70.12814620972767,-17.119940843263237,-12.938011859780918,5.37,6.11581769281051,3.63250582517418,0.24715521677726734
7.19,71.55497084573587,-12.309538378719287,-10.231975743046151,70.29898112217677,-18.633091876847196,-13.959408909796057,5.9,6.71942726025735,4.52863425010825,0.22220604863541232
7.41,71.55497084573587,-12.309538378719287,-10.231975743046151,70.52005448591356,-21.443750679504102,-13.998654012068922,6.01,6.84470471765198,5.96401316642378,0.22220604863541232
7.23,71.55497084573587,-12.309538378719287,-10.231975743046151,72.25821406725677,-7.519651629072477,-6.815174327933637,4.33,4.93137627744311,4.45841433690084,0.4784660140307815
